,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
6432,69,3,1,0.03,2,0
6433,20,2,3,0.09,1,0
6434,129,3,26,0.73,1,0
6435,70,2,4,0.15,1,0
6436,80,1,1,0.03,1,0
6437,40,2,3,0.1,1,349
6439,50,2,19,0.57,1,0
6440,30,2,12,0.71,1,178
6441,28,4,1,0.03,1,0
6442,25,1,2,0.06,1,0
6443,55,2,3,0.08,1,0
6444,80,4,1,0.03,1,0
6445,100,60,13,0.4,1,363
6446,45,2,5,0.14,1,0
6448,65,1,13,0.73,1,0
6449,42,5,37,1.16,1,40
6450,22,2,44,1.42,1,279
6451,53,3,79,2.28,1,349
6452,67,60,7,0.46,1,280
6453,62,3,43,1.2,1,18
6454,65,3,5,0.14,3,0
6455,55,5,23,0.64,1,0
6457,35,1,7,0.2,1,16
6458,68,5,1,0.14,1,0
6460,36,4,4,0.12,1,0
6461,120,5,48,1.38,2,355
6464,45,25,11,0.35,3,252
6465,250,1,1,0.03,1,362
6466,40,19,24,0.66,1,147
6469,150,3,11,0.32,1,339
6470,30,84,14,0.42,1,190
6472,99,3,7,0.22,1,0
6474,33,3,3,0.08,1,0
6476,45,1,48,1.48,1,84
6477,21,3,17,0.66,1,0
6478,40,1,46,1.32,1,330
6479,50,3,1,0.03,2,0
6481,30,2,81,2.69,1,330
6482,50,1,9,0.25,2,4
6483,45,3,103,3.0,1,151
6484,35,2,1,0.03,1,0
6485,24,2,39,1.15,1,0
6486,50,3,3,0.17,1,0
6488,35,3,15,0.44,1,0
6489,23,1,1,0.03,1,0
6491,15,1,1,0.03,2,0
6492,22,3,2,0.06,1,0
6493,60,2,13,0.43,7,63
6494,60,2,25,0.82,7,63
6495,85,1,1,0.03,1,0
6496,80,30,26,0.82,2,280
6497,60,14,13,0.37,1,222
6499,75,2,90,2.53,4,333
6500,20,4,2,0.06,1,0
6502,25,5,3,0.08,2,0
6503,125,1,10,0.28,6,297
6504,28,1,13,0.36,1,0
6506,55,3,2,0.06,1,0
6507,25,5,2,0.06,2,0
6508,135,1,19,0.53,6,318
6509,50,1,1,0.03,1,0
6510,65,2,1,0.03,1,0
6511,149,1,3,0.11,6,316
6512,125,2,17,0.47,6,337
6513,135,1,7,0.24,6,320
6514,149,1,1,0.03,6,309
6515,38,7,17,0.48,2,310
6516,35,1,1,0.03,1,0
6518,75,4,15,0.47,1,221
6519,50,3,2,0.06,1,0
6520,59,1,22,0.65,1,343
6521,35,1,2,0.09,1,310
6523,65,5,3,0.09,2,0
6525,200,4,15,0.49,1,364
6526,70,1,4,0.11,1,0
6527,59,5,2,0.06,1,0
6528,35,6,6,0.22,1,0
6530,45,2,4,0.15,1,0
6531,65,2,26,0.73,1,2
6532,30,2,9,0.28,1,304
6533,75,4,100,2.99,1,326
6534,70,1,3,0.09,1,0
6535,45,7,3,0.1,1,53
6536,40,1,2,0.07,1,0
6537,32,90,2,0.06,6,341
6538,28,3,20,0.56,1,0
6539,35,63,1,0.04,6,310
6541,32,63,2,0.11,6,221
6543,40,1,2,0.06,1,0
6544,57,10,1,0.03,1,0
6546,35,1,23,0.7,2,337
6547,76,3,23,0.66,1,36
6548,38,3,12,0.39,1,248
6549,100,2,1,0.03,1,0
6552,80,7,1,0.03,1,0
6553,20,1,1,0.03,1,0
6554,25,3,1,0.04,1,0
6555,20,1,1,0.03,1,0
6556,25,2,3,0.08,1,0
6558,45,2,6,0.17,1,121
6560,25,2,9,0.26,1,0
6561,28,2,8,0.23,1,0
6562,32,2,16,0.48,1,0
6563,24,5,21,0.81,3,14
6564,58,3,25,0.73,3,29
6565,15,5,9,0.25,1,306
6566,113,3,14,0.4,1,0
6567,39,2,37,1.14,2,73
6568,49,2,18,0.77,1,0
6569,43,90,1,0.06,1,251
6570,60,7,2,0.52,1,0
6571,39,7,16,0.46,2,210
6572,39,2,33,0.95,1,1
6573,140,3,2,0.06,2,0
6574,22,1,69,1.92,43,252
6576,76,3,12,0.35,1,328
6578,23,1,49,1.4,43,251
6580,24,1,136,3.79,1,337
6581,50,240,67,1.94,1,98
6582,30,1,3,0.08,1,0
6584,95,60,15,0.42,1,290
6585,75,7,9,0.26,1,0
6586,60,3,6,0.17,1,0
6589,120,2,52,1.5,1,0
6590,29,2,10,0.28,1,0
6591,60,1,3,0.09,1,0
6592,65,2,69,2.05,1,289
6593,28,5,1,0.03,1,0
6596,45,3,13,0.37,1,39
6597,49,60,1,0.03,1,248
6598,30,3,2,0.08,2,0
6599,13,1,14,3.26,1,0
6600,58,4,12,0.34,1,352
6601,30,10,2,0.07,1,0
6602,16,2,1,0.03,1,0
6604,89,9,4,0.12,1,38
6605,50,1,4,0.12,1,0
6606,77,3,2,0.06,1,0
6607,25,2,4,0.11,1,0
6608,90,5,29,0.91,1,333
6609,70,2,5,0.14,1,0
6610,60,2,2,0.06,1,0
6611,350,4,3,0.2,1,67
6612,40,1,1,0.04,1,0
6614,150,1,1,0.03,2,0
6615,35,5,2,0.07,1,0
6617,18,1,1,0.03,1,0
6620,45,2,48,1.37,2,350
6621,88,5,16,0.46,3,308
6622,28,5,3,0.09,2,0
6623,50,2,3,0.09,1,0
6625,35,1,6,0.18,1,0
6626,25,1,1,0.03,1,0
6627,18,1,4,0.11,4,0
6628,51,90,3,0.13,15,281
6630,28,3,4,0.12,1,0
6631,59,2,7,0.21,1,0
6632,80,5,1,0.03,1,0
6633,69,3,32,0.96,1,0
6634,40,8,2,0.06,1,0
6636,25,10,2,0.06,1,0
6638,70,14,4,0.23,1,0
6639,35,2,1,0.04,1,0
6640,27,5,2,0.06,1,137
6641,100,4,4,0.13,1,0
6642,16,1,28,0.88,2,1
6643,180,3,20,0.58,2,14
6645,80,3,7,0.2,1,0
6646,90,4,1,0.28,1,0
6647,45,60,3,0.15,1,133
6648,65,2,2,0.06,1,0
6649,30,2,7,0.2,1,221
6650,60,5,2,0.06,1,0
6653,30,1,1,0.03,1,0
6654,50,2,1,0.03,1,0
6655,9000,100,1,0.03,1,0
6656,90,10,23,0.66,1,24
6657,99,2,4,0.17,1,0
6658,45,1,1,0.03,1,0
6661,39,4,26,0.75,1,0
6663,19,7,1,0.03,1,0
6664,72,3,3,0.09,1,0
6667,43,2,40,1.15,1,331
6668,20,1,1,0.03,1,0
6669,28,1,5,3.57,4,256
6670,59,2,9,0.26,1,2
6671,50,2,11,0.44,2,305
6672,13,5,1,0.03,3,0
6673,74,2,25,0.77,1,0
6674,40,3,131,3.78,1,52
6675,40,5,16,0.48,1,0
6676,18,1,2,0.06,1,0
6681,58,7,3,0.09,1,0
6683,26,2,1,0.03,1,0
6685,18,1,9,0.8,2,0
6686,44,8,1,0.1,1,48
6688,58,2,1,0.03,1,0
6689,60,4,1,0.03,2,0
6690,50,2,28,0.92,1,80
6691,50,2,5,0.14,1,90
6692,50,7,2,0.08,1,0
6693,20,400,1,0.1,2,40
6694,38,3,44,1.32,1,352
6696,36,30,3,0.21,5,341
6699,35,3,7,0.24,1,0
6701,45,2,9,0.51,1,88
6702,49,1,47,1.36,3,14
6704,165,1,1,0.03,1,0
6706,60,2,115,3.65,1,7
6707,25,7,46,1.3,4,288
6711,200,1,1,0.03,2,0
6713,62,4,5,0.14,1,0
6715,149,2,79,2.28,2,14
6717,15,5,1,0.09,1,0
6718,50,5,1,0.03,1,0
6719,99,2,1,0.03,2,0
6720,30,10,1,0.03,1,0
6721,40,1,4,0.11,1,0
6722,30,60,3,0.09,1,337
6723,60,7,12,0.35,1,0
6724,55,2,3,0.08,1,0
6726,60,3,69,2.0,2,0
6729,79,1,24,0.88,1,54
6731,34,1,2,0.06,1,0
6732,46,2,121,3.45,1,338
6733,70,3,1,0.03,1,0
6734,35,2,39,1.29,2,318
6735,30,1,2,0.06,1,0
6736,25,1,1,0.03,2,0
6737,42,1,53,1.51,1,0
6738,85,5,10,0.29,1,0
6739,27,5,17,0.59,1,22
6740,48,5,1,0.03,1,0
6741,90,3,9,0.26,1,0
6742,50,5,2,0.06,1,0
6743,304,2,47,1.39,4,358
6744,85,2,12,0.41,3,0
6746,29,7,9,0.26,1,0
6747,70,1,1,0.03,1,0
6748,21,1,91,2.56,1,69
6749,80,7,5,0.15,1,0
6751,60,3,1,0.03,1,0
6752,25,2,2,0.06,1,0
6753,65,2,10,0.29,1,335
6755,45,3,8,0.31,1,0
6756,55,5,11,0.32,1,0
6757,45,1,135,4.28,4,0
6758,30,1,4,0.11,1,0
6759,28,5,3,0.09,1,0
6760,27,6,30,0.85,1,0
6761,30,4,31,0.88,1,0
6762,40,10,1,0.03,1,0
6763,26,4,5,0.19,1,0
6764,58,5,23,0.75,1,138
6765,30,2,17,0.49,1,5
6767,75,5,18,0.51,1,0
6768,46,1,4,0.11,1,0
6769,40,5,3,0.09,1,0
6771,26,10,37,1.07,3,28
6772,25,1,4,0.12,1,0
6773,25,6,2,0.11,1,0
6774,32,1,1,0.03,1,0
6775,240,3,1,0.03,1,0
6776,20,40,4,0.15,1,0
6778,118,4,24,0.74,1,337
6783,16,4,3,0.09,1,159
6784,300,3,2,0.07,1,0
6785,48,2,13,0.37,1,347
6786,35,1,34,1.02,1,260
6789,28,1,2,0.06,2,0
6790,60,3,25,0.71,1,0
6792,80,50,4,0.12,2,364
6794,75,7,28,0.92,1,0
6795,48,6,1,0.03,1,0
6798,15,1,8,0.24,1,0
6799,30,1,6,0.18,1,0
6800,40,1,2,0.06,1,0
6803,60,5,1,0.03,1,0
6804,25,1,1,0.03,2,0
6805,129,2,30,0.99,2,330
6806,260,3,2,0.06,1,0
6807,48,1,3,0.21,1,0
6808,17,1,1,0.03,1,0
6810,29,4,10,0.29,1,0
6813,85,10,10,0.38,1,246
6814,22,5,3,0.09,1,0
6815,130,3,88,2.54,2,12
6817,30,7,1,0.03,1,0
6818,32,1,16,0.46,1,0
6819,50,3,1,0.03,1,0
6821,20,1,1,0.03,1,0
6823,60,4,2,0.06,1,0
6825,45,60,10,0.29,1,70
6826,35,30,8,0.23,1,0
6827,30,2,1,0.03,1,0
6828,16,90,9,0.26,13,95
6829,250,3,1,0.03,1,0
6830,27,4,18,0.52,1,18
6832,150,3,22,0.64,2,107
6833,45,4,1,0.03,1,0
6834,32,2,1,0.03,1,0
6835,62,2,12,0.34,1,0
6838,25,2,5,0.31,1,0
6839,65,3,6,0.17,1,256
6840,25,2,7,0.2,1,0
6841,16,1,4,0.12,1,0
6842,18,62,7,0.2,13,80
6843,42,3,1,0.04,1,0
6844,21,1,61,1.75,43,244
6845,75,12,16,0.46,1,233
6846,45,3,24,0.69,1,0
6848,55,2,1,0.03,1,0
6849,147,2,8,0.29,1,250
6851,30,1,1,0.03,1,0
6856,55,5,1,0.03,1,0
6857,25,2,10,0.29,1,4
6858,16,4,2,0.06,1,0
6859,20,5,2,0.06,2,9
6861,90,4,3,0.09,1,0
6862,99,3,72,2.09,2,248
6863,95,2,30,1.7,1,9
6864,90,1,17,0.5,1,74
6866,60,3,2,0.06,1,0
6867,25,1,23,0.66,43,84
6868,65,1,2,0.06,3,0
6870,48,1,1,0.03,1,2
6871,50,3,55,2.46,1,0
6873,89,5,3,0.09,1,0
6875,55,1,7,0.2,1,0
6876,55,4,7,0.21,1,0
6877,48,1,114,3.29,30,341
6878,45,15,8,0.23,1,0
6881,52,5,2,0.06,1,0
6882,32,1,2,0.06,1,0
6884,62,10,15,0.43,2,0
6886,79,2,18,0.52,2,0
6887,19,2,2,0.06,1,0
6888,55,4,82,2.56,1,38
6891,70,1,9,0.26,1,0
6892,30,3,3,0.09,2,358
6893,90,2,55,1.59,1,152
6894,35,1,3,0.09,1,0
6895,17,9,4,0.12,1,0
6896,60,2,11,0.32,1,0
6897,49,2,15,0.43,2,0
6899,60,3,18,0.53,1,258
6901,80,3,7,0.22,1,0
6904,109,5,1,0.03,1,0
6905,25,3,7,0.2,1,0
6906,35,1,89,2.75,1,0
6907,37,2,97,3.22,1,120
6908,25,2,11,0.32,2,0
6909,35,1,79,2.28,1,0
6910,58,3,3,0.09,1,0
6911,60,7,2,0.11,1,0
6912,35,1,1,0.03,2,0
6914,36,30,1,0.07,9,160
6915,50,2,19,0.56,2,251
6916,53,1,3,0.09,1,0
6918,40,1,1,0.03,1,0
6919,53,90,1,0.03,2,0
6921,41,1,1,0.03,1,0
6922,35,10,4,0.12,2,0
6923,10,1,1,0.03,1,0
6924,25,6,7,0.21,1,0
6925,50,1,1,0.07,1,0
6927,48,1,2,0.06,1,0
6928,67,3,32,0.92,6,0
6929,150,90,1,0.04,3,365
6930,39,1,2,0.06,1,0
6932,68,5,1,0.03,1,0
6934,70,2,1,0.03,1,0
6936,35,1,3,0.09,1,0
6937,55,3,3,0.09,1,0
6938,70,1,1,0.03,1,0
6939,52,7,1,0.03,1,0
6940,27,1,100,2.89,1,131
6941,60,5,33,0.95,1,73
6942,92,3,29,0.83,1,0
6943,40,2,10,0.29,1,0
6944,44,2,13,0.37,1,0
6945,45,4,2,0.06,1,0
6947,50,4,1,0.03,1,0
6948,70,2,11,0.32,1,35
6950,20,1,10,0.3,1,0
6952,55,5,1,0.03,1,0
6954,50,1,3,0.11,1,0
6955,20,1,20,0.67,1,0
6956,56,2,64,1.84,3,184
6958,80,5,2,0.07,2,0
6959,60,1,1,0.03,1,0
6961,35,1,20,0.58,1,0
6962,30,4,2,0.06,1,0
6963,30,3,3,0.09,1,0
6964,70,3,1,0.03,1,0
6966,40,6,17,0.49,1,0
6967,24,10,3,0.09,2,0
6968,65,2,4,0.13,1,0
6969,40,1,1,0.03,1,0
6970,80,3,13,0.42,1,0
6971,32,14,5,0.14,1,0
6972,210,2,1,0.03,1,0
6975,30,1,12,0.35,1,310
6976,25,2,2,0.06,1,0
6977,50,2,3,0.09,1,11
6978,46,6,3,0.09,1,21
6980,21,3,5,0.16,1,0
6982,32,1,2,0.06,1,0
6986,40,30,8,0.23,1,0
6988,30,1,18,0.99,1,0
6989,77,4,10,0.3,1,0
6991,25,7,1,0.03,2,0
6992,40,4,2,0.06,1,29
6994,40,2,1,0.03,2,0
6996,37,1,1,0.03,1,0
6997,30,3,6,0.21,3,0
6999,100,2,6,0.17,1,87
7000,40,1,1,0.03,2,0
7002,45,2,1,0.03,1,0
7003,95,4,24,0.69,1,8
7004,60,5,1,0.06,1,0
7007,35,1,14,0.4,1,0
7009,45,7,1,0.03,1,0
7010,50,3,67,2.01,2,13
7011,110,6,5,0.14,1,0
7012,20,1,1,0.03,1,0
7013,25,1,3,0.09,1,0
7014,49,3,59,1.7,1,0
7015,45,2,4,0.12,2,361
7016,80,1,3,0.09,1,0
7018,49,1,2,0.06,1,0
7020,25,2,7,0.21,1,0
7022,26,1,1,0.03,1,0
7023,65,6,6,0.17,1,0
7027,20,2,1,0.03,2,0
7032,75,1,81,2.39,6,119
7033,75,1,34,1.07,6,236
7034,88,60,19,0.59,3,358
7035,25,1,1,0.03,1,0
7036,35,2,4,0.12,1,0
7037,65,2,117,3.53,1,152
7038,90,4,7,0.22,1,168
7039,29,1,1,0.03,2,0
7040,60,3,74,2.12,2,278
7041,53,1,1,0.03,1,0
7043,60,1,10,0.29,1,0
7046,47,7,1,0.06,1,0
7047,30,5,2,0.12,1,0
7049,80,2,1,0.63,1,0
7051,15,3,4,0.13,1,0
7052,48,1,10,1.56,1,363
7053,21,3,6,0.41,1,0
7054,39,1,1,0.03,1,0
7056,90,1,1,0.03,2,0
7057,50,3,3,0.09,1,0
7060,28,2,10,0.33,2,11
7061,60,1,1,0.03,1,0
7065,55,3,28,0.81,1,0
7067,89,2,1,0.03,2,35
7068,34,7,1,0.03,1,252
7069,29,1,4,0.15,1,0
7070,50,5,1,0.05,1,310
7071,50,4,33,1.19,1,0
7074,39,4,21,0.61,1,0
7075,30,1,51,1.52,2,0
7077,40,1,1,0.03,1,0
7080,30,2,7,0.2,1,0
7081,55,2,17,0.84,1,276
7085,70,2,32,0.92,1,298
7086,20,1,1,0.03,1,0
7087,220,3,101,2.91,3,298
7089,54,2,25,0.79,1,0
7090,89,1,128,3.74,30,327
7091,48,1,99,3.05,30,351
7092,60,2,45,1.36,1,71
7093,30,1,1,0.03,1,0
7094,60,1,2,0.06,1,0
7095,20,10,3,0.34,1,0
7097,40,4,3,0.09,1,337
7099,129,2,130,3.97,1,93
7100,35,14,1,0.03,1,0
7102,42,2,1,0.03,1,0
7104,95,3,1,0.04,1,0
7105,60,4,4,0.18,1,0
7106,45,5,6,0.17,1,0
7107,28,3,1,0.04,1,0
7108,35,2,1,0.04,1,0
7110,25,1,1,0.03,1,0
7111,70,4,1,0.03,2,334
7113,36,50,9,0.26,1,0
7114,20,6,2,0.06,1,0
7115,50,3,5,0.14,1,252
7117,37,13,1,0.03,1,0
7118,37,2,11,0.32,1,0
7119,35,28,47,1.39,1,311
7120,100,2,2,0.07,1,0
7121,23,1,3,0.09,2,0
7122,45,1,1,0.03,1,0
7123,23,1,1,0.03,2,0
7124,115,2,1,0.04,1,0
7125,30,3,1,0.03,1,0
7126,84,2,86,2.48,1,40
7127,35,2,7,0.2,2,35
7129,40,3,2,0.06,1,0
7130,107,3,134,3.88,1,32
7131,21,9,17,0.51,1,11
7132,65,2,50,1.64,1,302
7133,35,1,2,0.06,1,0
7134,21,3,6,0.18,1,0
7135,18,2,67,1.96,1,198
7137,100,25,7,0.24,1,251
7138,17,6,1,0.5,1,0
7139,25,5,11,0.32,1,310
7140,40,2,7,0.22,1,0
7144,50,3,6,0.39,1,35
7145,160,60,19,0.55,17,364
7146,50,1,1,0.03,2,0
7147,59,2,85,2.56,1,68
7148,119,4,3,0.09,1,0
7150,50,3,47,1.4,1,317
7151,38,2,126,3.68,2,17
7152,35,2,28,0.83,1,1
7153,29,1,77,2.25,1,341
7155,89,7,10,0.29,1,209
7156,55,1,4,0.28,1,286
7157,120,3,41,1.35,1,342
7158,29,150,2,0.11,2,326
7160,50,2,108,3.21,1,297
7161,45,3,28,0.84,1,35
7162,45,7,1,0.03,1,0
7164,56,3,13,0.38,1,6
7165,90,1,1,0.03,1,0
7166,25,1,85,2.52,1,0
7167,19,3,1,0.03,2,0
7168,20,3,2,0.06,2,0
7169,70,1,1,0.03,1,0
7172,103,3,2,0.06,1,60
7173,191,1,51,1.5,7,326
7174,450,3,55,1.68,2,340
7175,32,2,34,1.01,1,0
7176,55,5,6,0.19,2,0
7178,62,1,9,0.27,1,0
7179,35,24,1,0.04,1,298
7180,25,7,2,0.06,1,0
7181,40,5,2,0.07,1,0
7182,43,5,4,0.44,3,148
7183,51,2,2,1.07,1,358
7184,46,1,58,1.82,1,142
7186,56,2,60,1.81,2,0
7187,120,3,8,0.26,1,155
7188,29,10,6,0.27,2,159
7189,30,15,8,0.29,1,0
7190,35,1,2,0.06,2,0
7191,27,30,10,0.31,17,258
7192,27,30,15,0.46,17,324
7193,24,2,2,0.06,2,0
7195,29,2,3,0.09,1,0
7196,40,1,9,0.27,1,194
7197,21,3,1,0.03,1,0
7198,49,2,12,0.44,1,0
7200,45,5,7,0.24,4,354
7202,30,2,97,2.82,2,59
7203,65,3,8,0.25,1,0
7204,45,2,25,1.72,1,167
7205,26,30,7,0.22,17,241
7206,26,30,5,0.17,17,314
7209,37,1,7,0.21,1,0
7212,45,1,4,0.14,1,10
7213,50,3,2,0.07,1,0
7214,37,3,2,0.6,1,0
7215,130,3,13,0.39,1,17
7216,60,4,3,0.09,1,0
7217,49,1,14,0.41,1,0
7218,69,2,17,0.53,1,362
7219,20,7,1,0.04,1,0
7221,100,2,51,1.5,1,316
7222,120,3,108,3.3,1,145
7224,52,60,16,0.47,1,258
7226,79,4,2,0.14,2,0
7227,85,1,90,2.95,1,361
7229,22,2,1,0.03,1,0
7234,40,1,18,0.52,1,0
7235,30,2,3,0.09,1,0
7236,60,1,57,1.7,1,0
7237,55,30,31,1.38,1,364
7238,47,2,8,0.26,1,0
7240,34,3,1,0.03,1,0
7241,25,1,95,2.76,1,365
7242,39,4,8,0.29,3,145
7243,179,1,106,3.15,6,156
7244,32,2,4,0.13,2,0
7247,15,2,21,0.7,1,0
7248,24,2,5,0.15,2,0
7250,45,1,1,0.03,1,0
7251,50,2,19,0.56,1,0
7252,35,1,8,0.26,1,0
7253,40,2,4,0.12,1,0
7254,18,1,27,0.8,1,156
7255,130,30,21,0.62,2,54
7256,39,30,2,0.51,17,354
7257,28,10,2,0.06,1,0
7258,28,2,113,3.4,1,13
7259,39,2,95,2.88,1,34
7260,65,3,12,0.38,1,0
7261,30,3,5,0.16,1,0
7262,120,3,3,0.15,1,129
7263,15,1,1,0.03,1,0
7264,35,3,75,2.2,2,1
7265,55,1,1,0.03,1,0
7266,60,2,6,0.25,2,177
7267,75,3,11,0.42,2,0
7268,24,1,1,0.03,2,0
7270,30,6,6,0.34,1,8
7272,55,1,19,0.57,1,321
7274,21,4,2,0.08,1,0
7275,22,1,2,0.06,1,0
7277,22,2,3,0.12,1,0
7279,58,3,3,0.11,1,0
7280,30,3,17,1.53,2,0
7281,25,3,4,0.12,1,0
7284,30,3,88,2.89,1,154
7285,22,1,1,0.04,1,0
7286,28,3,1,0.05,1,0
7288,89,56,14,0.43,1,365
7290,120,1,2,0.06,1,0
7292,55,5,4,0.12,1,0
7293,85,1,1,0.03,1,0
7295,40,14,2,0.06,1,159
7296,42,1,28,1.07,1,0
7297,35,1,1,0.03,2,0
7298,33,3,7,0.21,1,17
7299,50,1,2,0.06,1,0
7300,35,1,55,1.96,1,70
7301,25,1,9,0.34,1,220
7302,45,60,11,0.37,1,279
7305,140,1,45,1.38,18,195
7306,55,1,14,0.47,18,253
7307,89,1,33,1.02,18,327
7308,62,2,38,1.2,6,274
7309,25,3,12,0.46,2,0
7310,50,3,26,0.76,1,9
7311,89,2,27,0.81,1,1
7312,37,2,1,0.04,1,0
7313,25,2,3,0.09,1,0
7314,154,2,4,0.28,1,13
7315,70,3,1,0.03,1,0
7317,50,4,31,1.01,1,361
7318,75,3,2,0.06,1,0
7319,24,2,39,1.28,1,308
7320,120,7,17,0.51,1,12
7321,65,2,1,0.04,2,125
7322,40,4,5,0.15,1,0
7323,28,1,54,2.77,2,309
7325,30,1,1,0.03,1,0
7326,40,1,2,0.06,1,0
7328,25,3,2,0.06,1,0
7330,20,1,10,0.31,2,0
7332,32,3,11,0.33,2,11
7333,75,4,3,0.19,1,0
7334,35,1,5,0.15,1,0
7336,55,10,9,0.27,1,0
7338,40,60,20,0.61,1,341
7339,30,6,1,0.04,1,0
7340,58,3,18,0.54,1,0
7343,27,28,19,0.57,1,0
7344,70,4,1,0.09,1,0
7345,114,4,51,1.66,1,209
7346,37,1,18,0.55,13,155
7347,33,15,1,0.03,3,0
7348,59,2,9,0.28,1,310
7349,26,4,1,0.03,1,0
7350,25,4,3,0.13,1,0
7351,65,2,1,0.04,1,0
7352,25,1,1,0.03,1,0
7353,79,1,12,0.42,43,254
7355,25,1,7,0.21,1,0
7357,75,2,9,0.3,2,83
7358,23,2,5,0.15,1,0
7360,98,150,2,0.1,17,296
7362,38,1,1,0.49,2,341
7363,40,2,2,0.06,1,0
7365,50,1,49,1.48,2,347
7366,30,1,1,0.04,1,0
7368,105,4,9,0.27,1,280
7369,32,4,2,0.06,3,0
7370,117,3,40,1.21,3,18
7371,42,2,89,2.92,1,170
7373,30,1,1,0.03,1,0
7374,49,2,17,0.53,1,0
7375,40,3,5,0.15,1,0
7376,30,3,1,0.03,1,0
7377,55,1,1,0.03,1,0
7378,85,2,10,0.4,2,0
7379,28,180,1,0.04,3,190
7380,129,2,11,0.33,1,0
7381,18,2,6,0.18,1,0
7382,22,2,2,0.06,1,0
7384,30,14,1,0.06,1,0
7385,30,2,10,0.32,1,0
7386,20,4,1,0.03,1,0
7387,44,7,2,0.14,1,0
7389,115,2,16,0.48,1,0
7391,19,3,1,0.03,2,0
7392,20,10,41,1.22,1,157
7394,32,18,36,1.1,1,324
7395,25,1,1,0.03,2,0
7396,150,1,1,0.03,1,0
7399,49,4,21,2.07,1,35
7400,75,4,8,0.24,1,0
7401,27,1,2,0.06,1,0
7402,130,2,16,0.57,1,310
7403,35,1,20,0.77,2,346
7405,20,2,9,0.27,1,0
7406,39,3,15,0.53,1,0
7407,30,1,4,0.12,1,0
7408,95,1,57,1.72,18,66
7410,40,1,1,0.03,1,0
7411,45,1,17,0.51,1,279
7414,38,1,2,0.06,13,173
7415,49,30,45,1.34,1,0
7416,75,2,67,2.02,1,156
7417,23,2,5,0.18,2,0
7418,24,1,1,0.03,1,0
7419,11,1,1,0.03,1,0
7421,15,1,1,0.03,1,0
7422,22,1,1,0.03,1,0
7423,32,2,64,1.94,1,355
7424,101,90,4,0.12,15,329
7426,30,1,14,0.43,1,0
7427,40,30,4,0.13,1,0
7428,129,3,47,1.48,1,0
7429,26,6,4,0.24,1,0
7430,28,1,3,0.09,1,0
7431,85,3,9,0.28,1,0
7432,22,2,37,1.13,1,310
7434,30,1,3,2.31,1,53
7437,25,1,2,0.06,1,0
7438,26,1,19,0.58,13,184
7439,28,2,10,0.3,1,0
7440,100,2,77,2.37,9,56
7441,30,1,6,0.18,1,0
7442,70,3,10,0.36,1,0
7443,50,2,4,1.15,1,0
7444,220,2,19,0.58,1,6
7445,29,4,11,0.33,1,49
7446,55,1,2,0.06,1,0
7447,219,1,123,3.81,6,165
7448,50,1,12,0.37,1,0
7449,80,7,12,0.47,1,0
7450,35,1,1,0.06,1,0
7452,29,3,60,1.81,2,68
7455,30,1,2,0.07,1,0
7456,59,14,6,0.2,1,339
7457,60,3,14,0.42,1,0
7458,15,7,1,0.03,1,0
7460,39,1,3,0.09,1,0
7461,30,1,1,0.06,1,0
7462,25,1,1,0.03,1,0
7463,210,2,7,0.42,2,279
7464,40,1,125,3.76,1,10
7465,30,1,1,0.03,1,0
7466,60,1,15,0.47,1,364
7467,22,1,24,0.74,1,39
7468,30,3,2,0.06,1,0
7469,17,4,13,0.39,2,0
7470,22,1,3,0.09,1,0
7471,91,2,5,0.15,1,0
7473,9,7,1,0.03,1,0
7474,28,2,41,1.24,1,318
7475,26,1,7,0.21,1,0
7476,30,7,1,0.03,1,0
7477,32,3,22,0.69,2,22
7479,25,2,9,0.28,1,0
7483,30,1,6,0.18,1,0
7484,25,2,44,1.31,9,82
7486,28,2,18,0.54,1,0
7487,44,2,71,2.14,1,102
7489,48,7,1,0.03,1,0
7491,99,2,15,0.49,1,49
7492,165,3,11,0.39,1,164
7493,30,2,4,0.67,1,0
7494,60,3,15,0.47,1,0
7495,85,2,93,2.88,1,324
7496,149,1,2,0.07,2,0
7497,109,2,94,4.55,1,233
7498,30,3,4,0.15,1,0
7499,35,5,24,0.85,1,0
7505,60,4,2,0.07,1,0
7509,36,3,34,1.03,1,173
7510,120,90,2,0.06,17,365
7511,69,3,56,1.72,1,313
7513,50,2,7,0.21,1,0
7514,95,2,3,0.1,1,0
7515,34,3,5,0.32,2,0
7516,42,6,1,0.04,2,0
7517,80,7,1,0.03,1,105
7518,26,1,16,0.57,13,181
7519,33,2,2,0.06,1,0
7521,17,10,1,0.03,2,0
7523,59,3,139,4.24,3,319
7525,12,60,7,0.3,1,282
7526,25,3,9,0.55,1,0
7529,145,3,125,3.85,1,140
7534,70,3,21,0.67,1,319
7535,76,3,10,0.3,1,0
7536,30,1,4,0.12,1,0
7537,40,1,2,0.06,1,0
7542,200,5,1,0.03,1,0
7543,120,1,1,0.57,2,362
7545,25,2,77,2.33,1,43
7546,27,21,3,0.1,1,0
7547,95,3,36,1.11,1,333
7548,80,2,1,0.03,1,0
7549,40,3,1,0.04,1,0
7551,80,3,37,1.11,1,0
7552,20,3,2,0.06,2,0
7553,40,5,33,1.01,1,304
7554,40,3,6,0.18,1,0
7556,80,5,7,0.25,1,0
7557,18,4,1,0.03,1,0
7558,100,3,1,0.03,1,0
