,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
12612,40,1,4,0.36,1,39
12613,30,1,29,1.62,1,12
12614,28,1,8,0.45,1,0
12615,145,2,87,4.87,1,71
12616,15,1,15,0.83,1,163
12617,39,2,64,3.58,6,294
12618,40,2,37,2.15,1,59
12619,29,1,61,3.41,7,350
12620,165,2,20,1.13,1,0
12621,0,1,26,1.43,1,124
12622,45,20,5,0.29,2,0
12623,100,10,7,0.4,2,3
12624,60,1,16,0.91,1,161
12625,25,2,10,0.55,2,0
12626,32,58,1,0.07,1,280
12627,55,6,2,0.67,3,49
12628,27,2,9,0.49,2,0
12629,39,2,9,0.5,1,21
12630,35,2,17,0.95,1,0
12631,109,2,39,2.38,5,344
12632,40,2,85,4.82,2,72
12633,35,3,2,0.24,2,6
12634,15,2,15,0.86,2,0
12636,50,2,28,1.55,2,37
12637,170,6,2,0.14,1,30
12638,25,7,3,0.17,1,279
12639,30,4,4,0.22,1,0
12640,39,1,65,3.69,5,307
12641,109,1,81,4.55,1,69
12642,43,2,2,0.12,1,0
12643,85,2,10,0.56,1,0
12644,32,5,45,2.55,1,125
12645,64,2,16,0.91,1,8
12646,45,3,3,0.18,1,125
12648,120,2,46,2.57,12,285
12649,120,2,12,0.68,1,79
12651,69,2,21,1.19,1,84
12652,26,2,50,2.75,1,1
12653,150,5,12,0.68,1,35
12654,35,3,29,1.64,1,25
12655,45,2,7,0.39,2,0
12657,41,2,21,1.18,1,27
12658,95,3,74,4.18,1,289
12659,95,2,33,1.82,2,12
12661,50,5,4,0.22,1,0
12662,99,2,23,1.34,1,9
12663,59,3,2,0.12,1,0
12664,28,4,1,0.06,1,11
12665,25,14,5,0.27,1,0
12667,70,1,7,0.43,8,339
12668,40,2,19,1.08,1,2
12669,22,21,2,0.11,1,0
12671,119,1,42,2.43,4,340
12672,60,3,3,0.19,1,37
12673,80,3,76,4.31,1,284
12674,90,1,1,1.0,1,358
12675,45,4,2,0.11,1,0
12676,42,2,2,0.11,1,0
12677,30,1,13,0.73,1,228
12678,50,2,8,0.45,1,129
12679,35,3,1,0.06,1,0
12682,50,2,14,0.79,1,0
12683,43,2,23,1.42,2,0
12684,50,5,1,0.06,1,0
12685,45,3,27,1.54,1,333
12686,120,5,6,0.34,1,125
12687,42,2,2,0.33,1,0
12688,40,3,6,0.34,1,28
12689,27,1,9,0.51,2,0
12690,79,4,16,0.91,1,25
12691,33,1,9,0.69,1,0
12692,40,3,5,0.28,1,0
12693,60,5,41,2.27,1,35
12694,90,1,5,0.28,1,0
12695,45,1,40,2.26,1,9
12696,33,2,2,0.15,1,0
12697,21,3,13,0.76,1,0
12698,70,2,13,0.74,1,349
12699,20,2,1,0.06,1,0
12700,55,1,7,0.41,1,89
12701,55,3,7,0.4,1,0
12702,40,2,15,0.84,1,305
12703,49,3,9,0.5,1,0
12704,82,7,3,0.17,1,0
12705,27,2,72,4.26,1,12
12706,46,3,4,0.22,1,0
12707,48,2,3,0.17,1,0
12708,50,7,1,0.06,1,128
12709,34,5,1,0.06,1,0
12710,40,1,46,2.61,1,151
12711,79,3,11,0.65,1,41
12712,50,1,16,0.88,1,356
12713,90,8,1,1.0,1,302
12714,25,3,32,1.79,1,5
12715,19,4,1,0.06,1,0
12717,60,10,5,0.6,1,14
12718,70,2,19,1.08,1,120
12719,55,2,11,0.63,1,17
12720,58,3,7,0.4,1,0
12721,30,2,4,0.44,1,0
12722,99,2,10,0.65,1,4
12723,39,1,17,2.95,1,44
12724,25,5,12,0.69,1,7
