,room_type
2564,1
2565,1
2566,0
2567,0
2568,0
2570,1
2571,0
2573,0
2574,0
2576,1
2577,1
2581,1
2583,0
2584,0
2585,0
2586,1
2587,1
2588,1
2589,0
2591,0
2592,1
2593,0
2594,0
2595,0
2596,0
2597,0
2599,1
2600,0
2602,0
2603,1
2604,0
2605,1
2606,0
2607,1
2609,0
2610,1
2611,0
2612,1
2613,0
2614,1
2618,1
2619,0
2620,0
2621,0
2622,1
2623,0
2624,0
2625,0
2627,1
2628,0
2630,1
2631,0
2633,0
2634,0
2635,1
2637,1
2638,0
2639,1
2640,0
2642,0
2643,1
2644,0
2646,0
2647,0
2648,1
2650,1
2651,0
2652,1
2653,1
2654,0
2655,1
2656,1
2657,0
2658,0
2659,0
2660,0
2661,1
2662,0
2663,0
2664,0
2665,1
2666,0
2667,1
2669,0
2670,1
2671,0
2672,1
2673,1
2675,0
2676,0
2677,0
2678,1
2679,1
2680,1
2682,0
2683,0
2684,1
2685,0
2687,0
2688,0
2689,0
2690,1
2691,0
2692,0
2693,1
2694,0
2695,0
2696,0
2697,0
2698,0
2699,1
2700,0
2701,0
2702,1
2703,0
2704,0
2705,0
2706,0
2707,0
2708,1
2709,1
2710,1
2711,1
2713,0
2714,1
2715,1
2716,0
2717,1
2718,1
2719,0
2720,1
2722,1
2723,1
2724,0
2726,1
2727,0
2728,1
2729,0
2730,0
2731,0
2733,0
2734,0
2737,1
2738,0
2739,0
2740,0
2741,1
2742,0
2743,0
2744,2
2745,1
2748,1
2749,1
2750,0
2751,0
2752,1
2753,0
2754,0
2755,0
2756,0
2757,1
2758,0
2759,1
2760,1
2761,1
2762,0
2763,0
2764,0
2765,1
2766,1
2767,0
2768,1
2769,0
2770,1
2771,0
2773,1
2774,0
2775,1
2776,1
2777,0
2778,0
2780,0
2781,0
2782,1
2783,0
2785,0
2787,1
2788,1
2789,1
2791,0
2792,1
2793,1
2794,0
2795,0
2796,1
2797,1
2798,1
2799,0
2800,0
2801,0
2803,0
2804,0
2805,1
2806,0
2807,1
2808,0
2809,1
2810,0
2811,1
2812,1
2813,0
2814,0
2815,1
2816,1
2817,0
2818,0
2819,0
2820,1
2821,0
2822,1
2823,1
2825,0
2826,1
2827,0
2828,1
2829,0
2830,1
2831,1
2832,0
2834,0
